"","dateB","difficulty","hashrate","price","revenue","bitcoin"
"482",2018-04-27,3943557223451.08,28391145.8892854,9294.67,16863598.9093141,0.000107588542680913
"483",2018-04-28,4022059196164,25592018.8297784,8928.55,15653776.3788926,0.000112000268800645
"484",2018-04-29,4022059196164,31590148.2430077,9349.41,19062958.9541718,0.000106958620918325
"485",2018-04-30,4022059196164,30990335.3016848,9398.4,18355130.6040407,0.000106401089547157
"486",2018-05-01,4022059196164,31590148.2430077,9239.55,18261853.150436,0.000108230379185133
"487",2018-05-02,4022059196164,27991270.5950701,9074.98,16550285.1275183,0.000110193080315329
"488",2018-05-03,4022059196164,30190584.7132542,9220.76,18065019.7593026,0.00010845093029208
"489",2018-05-04,4022059196164,27591395.3008549,9753.35,17306276.9658842,0.000102528874694336
"490",2018-05-05,4022059196164,32189961.1843307,9696.13,20833828.1418501,0.000103133930753816
"491",2018-05-06,4022059196164,27391457.6537472,9837.92,16838802.1726855,0.000101647502724153
"492",2018-05-07,4022059196164,29990647.0661466,9631.44,18103183.2869905,0.000103826634438879
"493",2018-05-08,4022059196164,27791332.9479625,9369.16,16408115.8781141,0.000106733154306256
"494",2018-05-09,4022059196164,31990023.537223,9186.69,19367520.3701015,0.000108853134262721
"495",2018-05-10,4022059196164,30790397.6545772,9310.37,19067802.4806501,0.000107407117010387
"496",2018-05-11,4138123233245.81,26161151.1691398,9015.88,14126392.4253011,0.000110915407037361
"497",2018-05-12,4143878474754,33988897.1882526,8396.83,18033347.7293567,0.000119092562312206
"498",2018-05-13,4143878474754,30487010.8112811,8463.52,15995382.6618611,0.000118154148628467
"499",2018-05-14,4143878474754,27191117.750602,8691.46,14739381.0305533,0.000115055468241239
"500",2018-05-15,4143878474754,30075024.1786962,8671.51,16103188.3153369,0.000115320169151624
"501",2018-05-16,4143878474754,36872803.6163467,8471.06,19398271.8614679,0.000118048980883148
"502",2018-05-17,4143878474754,27191117.750602,8343.27,14350337.7490409,0.000119857082414928
"503",2018-05-18,4143878474754,30487010.8112811,8063.86,15763512.3289478,0.000124010089460879
"504",2018-05-19,4143878474754,31722970.7090357,8239.08,16144063.7583699,0.000121372774630177
"505",2018-05-20,4143878474754,29663037.5461113,8242.07,15235623.0821206,0.000121328743871382
"506",2018-05-21,4143878474754,32340950.657913,8520.59,17282837.0820059,0.000117362764785068
"507",2018-05-22,4143878474754,31104990.7601584,8396.63,15794378.6165236,0.000119095398987451
"508",2018-05-23,4143878474754,33370917.2393752,7987.38,15983293.2896781,0.000125197499054759
"509",2018-05-24,4219142059012.62,30616246.3183454,7511.91,13875883.1127304,0.000133121935699443
"510",2018-05-25,4306949573981,37681533.9302713,7576.78,16707898.3872744,0.00013198218768395
"511",2018-05-26,4306949573981,34684139.1858179,7465.12,15506006.4825006,0.00013395631952333
"512",2018-05-27,4306949573981,35112338.4350255,7334.71,15313094.104962,0.000136338041994844
"513",2018-05-28,4306949573981,33399541.438195,7344.56,14547701.9131361,0.000136155195137626
"514",2018-05-29,4306949573981,29759847.8199301,7106.06,12836137.4531791,0.000140724958697225
"515",2018-05-30,4306949573981,37253334.6810636,7457.02,16513656.6717777,0.000134101826198669
"516",2018-05-31,4306949573981,36396936.1826484,7386.72,16302254.4158229,0.000135378083912752
"517",2018-06-01,4306949573981,35540537.6842331,7489.66,15642337.9880188,0.000133517409335003
"518",2018-06-02,4306949573981,32543142.9397797,7518.67,14536335.5297674,0.000133002246407942
"519",2018-06-03,4306949573981,34898238.8104217,7637.14,16165187.1658882,0.000130939068813718
"520",2018-06-04,4306949573981,39180231.302498,7713.85,17479742.989664,0.000129636951716717
"521",2018-06-05,4415593341673.57,42980660.1034435,7495.47,16505061.8327038,0.000133413915338198
"522",2018-06-06,4940704885521,36103754.4868926,7619.43,14329592.5450201,0.000131243413221199
"523",2018-06-07,4940704885521,35121339.3988139,7653.96,13918250.6520602,0.000130651322975296
"524",2018-06-08,4940704885521,35612546.9428532,7687.37,14114417.177542,0.000130083500599035
"525",2018-06-09,4940704885521,35121339.3988139,7615.54,13978762.823424,0.000131310452049362
"526",2018-06-10,4940704885521,31191679.046499,7497.1,11638700.4682901,0.000133384908831415
"527",2018-06-11,4940704885521,34384528.0827548,6762.1,11987207.9874201,0.000147883054080833
"528",2018-06-12,4940704885521,35612546.9428532,6879.31,12573789.8257324,0.00014536341580769
"529",2018-06-13,4940704885521,35121339.3988139,6553,11932624.9425915,0.000152601861742713
"530",2018-06-14,4940704885521,37577377.1190106,6299.89,12563621.7041841,0.000158732930257512
"531",2018-06-15,4940704885521,37577377.1190106,6637.41,13178785.7305518,0.000150661176573392
"532",2018-06-16,4940704885521,40770226.1552664,6391.16,13504867.2356099,0.000156466118826629
"533",2018-06-17,4940704885521,38559792.2070893,6488.68,13246220.7271786,0.000154114550262919
"534",2018-06-18,4940704885521,40279018.6112271,6445.79,13469448.2687865,0.000155140021626519
"535",2018-06-19,5024546460933.97,39122596.140543,6712.5,13569989.109128,0.000148975791433892
"536",2018-06-20,5077499034879,39122596.140543,6743.41,14482144.8535347,0.000148292925982552
"537",2018-06-21,5077499034879,42908653.8315633,6760.83,14808109.3756117,0.000147910833433173
"538",2018-06-22,5077499034879,38112980.7562709,6719.79,12460024.7147648,0.000148814174252469
"539",2018-06-23,5077499034879,40384615.3708831,6059.3,13084984.3584379,0.000165035565164293
"540",2018-06-24,5077499034879,43161057.6776313,6170.46,13455402.0964478,0.000162062471841646
"541",2018-06-25,5077499034879,39627403.832679,6157.04,12514807.2617257,0.000162415706248457
"542",2018-06-26,5077499034879,36850961.5259308,6249.62,11522845.2247558,0.000160009728591498
"543",2018-06-27,5077499034879,30540865.3742303,6097.46,9410792.753692,0.000164002715884975
"544",2018-06-28,5077499034879,39627403.832679,6143.97,12428430.3582216,0.000162761211399144
"545",2018-06-29,5077499034879,38112980.7562709,5878.14,11427014.5125669,0.000170121841262712
"546",2018-06-30,5077499034879,35588942.2955907,6223.28,11359646.682706,0.000160686968929568
"547",2018-07-01,5077499034879,37103365.3719988,6408.91,11937510.4443779,0.000156032773123667
"548",2018-07-02,5172892177079.67,37594816.2562869,6365.66,11654033.0293607,0.000157092901600148
"549",2018-07-03,5363678461481,30929068.6931155,6626.44,9914650.33867422,0.000150910594527378
"550",2018-07-04,5363678461481,35728406.9385989,6518.97,11310340.4852283,0.000153398466322134
"551",2018-07-05,5363678461481,36528296.6461795,6602.32,11406742.2965554,0.000151461910358783
"552",2018-07-06,5363678461481,42660784.4042972,6555.51,13385359.5510441,0.000152543432928941
"553",2018-07-07,5363678461481,41594264.7941898,6628.59,13246362.8842491,0.000150861646292801
"554",2018-07-08,5363678461481,42127524.5992435,6778.38,13573744.7619332,0.000147527875392055
"555",2018-07-09,5363678461481,36261666.7436526,6724.04,11538923.6101558,0.000148720114692952
"556",2018-07-10,5363678461481,39727855.4765018,6682.68,12706743.0565668,0.000149640563366793
"557",2018-07-11,5363678461481,35995036.8411258,6329.27,11007393.2006476,0.00015799610381608
"558",2018-07-12,5363678461481,37594816.2562869,6403.18,11243498.5172732,0.000156172401837837
"559",2018-07-13,5363678461481,38128076.0613406,6239.47,11580161.27454,0.00016027002293464
"560",2018-07-14,5363678461481,35461777.0360721,6220.1,10454811.3292918,0.000160769119467533
"561",2018-07-15,5363678461481,35461777.0360721,6248.84,10753180.2948952,0.000160029701512601
"562",2018-07-16,5363678461481,31995588.3032229,6348.09,9907260.87328925,0.000157527697307379
"563",2018-07-17,5199615302174.91,40931868.4915103,6732.81,14162648.5568392,0.000148526395368353
"564",2018-07-18,4777898204347.56,40917772.2353335,7321.62,17110731.1022447,0.000136581794739416
"565",2018-07-19,4518312899454.68,38532342.0422395,7371.11,16004613.1001464,0.000135664777760744
"566",2018-07-20,4702863956828.32,35912990.4513772,7473.9,14466795.3986963,0.000133798953692182
"567",2018-07-21,5010091568229.18,37238610.1295403,7334.99,12868685.0037298,0.000136332837536247
"568",2018-07-22,4305981784803.49,37834394.7750168,7408.99,17426428.2747925,0.000134971163410937
"569",2018-07-23,4380835209783.34,38903866.9516883,7406.66,16326406.797981,0.000135013622874548
"570",2018-07-24,4474195108078,37931728.4337156,7715.1,16222402.2983168,0.000129615947946235
"571",2018-07-25,4471941589965.35,41440518.003637,8418.11,18521932.1199499,0.000118791510208348
"572",2018-07-26,4395496485374.76,40158157.7816383,8171.65,17302326.280585,0.000122374306290651
"573",2018-07-27,4344189037182.37,37931799.0031975,7939.81,17336563.9502542,0.000125947598242275
"574",2018-07-28,4641809623236.61,37877782.484299,8178.33,15379062.9397877,0.000122274351854229
"575",2018-07-29,4376202807459.49,40370661.2999403,8219.92,17783188.6373367,0.000121655685213481
"576",2018-07-30,5169022668817.36,37963869.8250279,8220.91,13844660.4345173,0.000121641034873268
"577",2018-07-31,4846466647384.86,37350306.3975893,8171.49,14743282.0602165,0.000122376702412901
"578",2018-08-01,4783739305064.49,35869480.3601109,7735.28,14364964.4006987,0.000129277802484202
"579",2018-08-02,4612497953904.65,35848431.16924,7607.7,14896249.0194185,0.000131445772046742
"580",2018-08-03,4413456548541.28,36459787.5357578,7535.88,15553038.2159899,0.000132698503691672
"581",2018-08-04,5949437371610,52051671.9161698,7414.77,16086605.4056142,0.000134865949989008
"582",2018-08-05,5949437371610,47319701.7419725,7011.28,14248433.3225004,0.000142627309136135
"583",2018-08-06,5949437371610,38743005.80124,7032.3,11561668.3213017,0.000142200986874849
"584",2018-08-07,5949437371610,44657968.5189865,6937.23,13496173.2906021,0.000144149754296744
"585",2018-08-08,5949437371610,46432457.3343105,6718.23,12946324.4208638,0.000148848729501669
"586",2018-08-09,5949437371610,44066472.2472119,6277.59,12039937.0283364,0.000159296800205174
"587",2018-08-10,5949437371610,52051671.9161698,6532.36,14364533.2889265,0.000153084030886234
"588",2018-08-11,6197839919507.6,52376369.8984008,6138.96,13368973.044828,0.000162894040684416
"589",2018-08-12,6389316883512,49230273.0794216,6227.85,12290113.44632,0.000160569056737076
"590",2018-08-13,6389316883512,47642199.754279,6313.42,12178415.4735653,0.000158392757016007
"591",2018-08-14,6389316883512,43195594.4438796,6252.13,10463532.7086275,0.000159945490576811
